input_power_dut,output_power_dut,gain,sg_power,dc_power,efficiency,V_carrier_CH1,V_carrier_CH2,I_carrier_CH1,I_carrier_CH2,frequency_ghz
-7.945,-14.59,-6.645,-7.0,2.11454561,0.001643550083761047,2.8174,27.9923,0.0004,0.0755,1.3
-6.945,-13.48,-6.535,-6.0,2.1145531600000003,0.0021221759680571536,2.8174,27.9924,0.0004,0.0755,1.3
-5.945,-12.05,-6.105,-5.0,2.11453806,0.002949745134795158,2.8174,27.9922,0.0004,0.0755,1.3
-4.945,-10.649999999999995,-5.704999999999995,-4.0,2.11707063,0.004066910853062099,2.8173,27.9924,0.0003,0.0756,1.3
-3.9450000000000003,-10.529999999999998,-6.584999999999997,-3.0,2.1170631,0.004180865510484007,2.8174,27.9923,0.0003,0.0756,1.3
-2.9450000000000003,-9.999999999999996,-7.054999999999996,-2.0,2.1198699,0.004717270621182932,2.8174,27.9924,0.0003,0.0757,1.3
-1.9450000000000003,-8.219999999999995,-6.274999999999995,-1.0,2.1229433,0.00709678429087928,2.8174,27.9923,0.0004,0.0758,1.3
-0.9450000000000003,-7.139999999999997,-6.194999999999997,0.0,2.1229433,0.009100423534707327,2.8174,27.9923,0.0004,0.0758,1.3
0.054999999999999716,-6.709999999999997,-6.764999999999997,1.0,2.12853416,0.010021191828777507,2.8174,27.9922,0.0004,0.076,1.3
1.0549999999999997,-6.069999999999997,-7.1249999999999964,2.0,2.13134099,0.01159703752995495,2.8174,27.9923,0.0004,0.0761,1.3
2.0549999999999997,-5.129999999999999,-7.184999999999999,3.0,2.1369394500000003,0.01436176391610516,2.8174,27.9923,0.0004,0.0763,1.3
3.0549999999999997,-3.7600000000000016,-6.815000000000001,4.0,2.1425302999999998,0.019636904476190785,2.8175,27.9922,0.0004,0.0765,1.3
4.055,-3.7499999999999964,-7.804999999999996,5.0,2.14507072,0.019658862502611674,2.8174,27.9925,0.0003,0.0766,1.3
5.055,-2.849999999999998,-7.904999999999998,6.0,2.15374248,0.024088304137872694,2.8173,27.9924,0.0004,0.0769,1.3
6.055,-1.629999999999999,-7.684999999999999,7.0,2.16745698,0.03169928844512672,2.8174,27.9924,0.0003,0.0774,1.3
7.055,-0.49999999999999645,-7.554999999999996,8.0,2.18453412,0.040798215508474,2.8173,27.9924,0.0004,0.078,1.3
8.055,0.05000000000000071,-8.004999999999999,9.0,2.2013374199999998,0.0459529486515474,2.8173,27.9925,0.0004,0.0786,1.3
9.055,0.9400000000000013,-8.114999999999998,10.0,2.22092428,0.055907007671257114,2.8174,27.9924,0.0004,0.0793,1.3
-10.625,-16.860000000000003,-6.235000000000003,-10.0,2.11456826,0.0009744920285855424,2.8174,27.9926,0.0004,0.0755,1.4
-9.625,-16.49,-6.864999999999998,-9.0,2.11453806,0.0010611688511214456,2.8174,27.9922,0.0004,0.0755,1.4
-8.625,-15.77,-7.145,-8.0,2.11453806,0.001252519492889478,2.8174,27.9922,0.0004,0.0755,1.4
-7.625,-15.309999999999999,-7.684999999999999,-7.0,2.11735236,0.0013906148496694983,2.8173,27.9924,0.0004,0.0756,1.4
-6.625,-14.419999999999998,-7.794999999999998,-6.0,2.11732968,0.0017069135055038437,2.8173,27.9921,0.0004,0.0756,1.4
-5.625,-12.500000000000004,-6.8750000000000036,-5.0,2.1201289300000004,0.0026523921127303753,2.8174,27.9921,0.0004,0.0757,1.4
-4.625,-11.640000000000004,-7.015000000000004,-4.0,2.1229584200000002,0.003228929120772238,2.8173,27.9925,0.0004,0.0758,1.4
-3.625,-11.27,-7.645,-3.0,2.1229584600000004,0.0035160780226009074,2.8174,27.9925,0.0004,0.0758,1.4
-2.625,-10.129999999999999,-7.504999999999999,-2.0,2.12573494,0.004565526721998039,2.8174,27.9922,0.0004,0.0759,1.4
-1.625,-8.91,-7.285,-1.0,2.13134099,0.006030413087225506,2.8174,27.9923,0.0004,0.0761,1.4
